question,intent,matched_pattern,answer
can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
can you tell me can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
i want to know can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
please explain can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
could you describe can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
information about can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
details about can i bring a bag inside the library,rules,can i bring,Bags should be left at the designated racks or cloak area; personal large bags are not allowed insid...
fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
what is the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
can you tell me fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
i want to know fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
please explain fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
could you describe fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
information about fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
details about fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
can you tell me library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
i want to know library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
please explain library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
could you describe library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
information about library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
details about library fine policy,rules,fine policy,"Fine & Penalty Policy (Nalanda Library, IIT Ropar): ₹2.00 per day for the first week after the due d..."
can you tell me the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
i want to know the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
please explain the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
could you describe the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
information about the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
details about the overdue fine policy,rules,fine policy,The overdue fine policy is described on the library site and may vary by user category. Typical poli...
how to access online journals,resources,how to,"📚 **How to Access Online Journals:**

**On Campus:**
✅ Direct access to all subscribed e-journals an..."
how to issue book,borrowing,how to,Issue books with your institute ID at the library counter or self-service kiosks. Ensure no outstand...
how to search books,borrowing,how to,"OPAC (Online Public Access Catalogue) lets users search books, journals, and resources by title, aut..."
how to reserve a book,borrowing,how to,"To reserve a book:
1) Search in OPAC (https://opac.iitrpr.ac.in)
2) If book is issued to someone, cl..."
how to hold a book,general,how to,"📚 **Proper Book Handling Guidelines:**

✅ **Do:**
• Handle books with clean, dry hands
• Open books ..."
